Date,Oil
7/17/1987,559
7/24/1987,565
7/31/1987,605
8/7/1987,613
8/14/1987,620
8/21/1987,627
8/28/1987,665
9/4/1987,704
9/11/1987,718
9/18/1987,711
9/25/1987,718
10/2/1987,721
10/9/1987,723
10/16/1987,725
10/23/1987,740
10/30/1987,738
11/6/1987,734
11/13/1987,760
11/20/1987,746
11/27/1987,750
12/4/1987,757
12/11/1987,764
12/18/1987,745
12/25/1987,716
1/1/1988,710
1/8/1988,689
1/15/1988,641
1/22/1988,611
1/29/1988,573
2/5/1988,580
2/12/1988,557
2/19/1988,575
2/26/1988,592
3/4/1988,591
3/11/1988,572
3/18/1988,583
3/25/1988,580
4/1/1988,577
4/8/1988,566
4/15/1988,560
4/22/1988,566
4/29/1988,541
5/6/1988,563
5/13/1988,557
5/20/1988,571
5/27/1988,576
6/3/1988,562
6/10/1988,544
6/17/1988,550
6/24/1988,558
7/1/1988,572
7/8/1988,573
7/15/1988,565
7/22/1988,560
7/29/1988,549
8/5/1988,575
8/12/1988,572
8/19/1988,566
8/26/1988,561
9/2/1988,526
9/9/1988,513
9/16/1988,499
9/23/1988,510
9/30/1988,523
10/7/1988,514
10/14/1988,524
10/21/1988,526
10/28/1988,504
11/4/1988,505
11/11/1988,471
11/18/1988,491
11/25/1988,494
12/2/1988,487
12/9/1988,512
12/16/1988,510
12/23/1988,519
12/30/1988,505
1/6/1989,475
1/13/1989,470
1/20/1989,412
1/27/1989,414
2/3/1989,396
2/10/1989,389
2/17/1989,392
2/24/1989,391
3/3/1989,400
3/10/1989,398
3/17/1989,405
3/24/1989,424
3/31/1989,417
4/7/1989,429
4/14/1989,433
4/21/1989,430
4/28/1989,426
5/5/1989,436
5/12/1989,451
5/19/1989,425
5/26/1989,419
6/2/1989,429
6/9/1989,427
6/16/1989,409
6/23/1989,428
6/30/1989,439
7/7/1989,436
7/14/1989,424
7/21/1989,417
7/28/1989,445
8/4/1989,445
8/11/1989,433
8/18/1989,426
8/25/1989,442
9/1/1989,451
9/8/1989,449
9/15/1989,468
9/22/1989,472
9/29/1989,480
10/6/1989,468
10/13/1989,498
10/20/1989,502
10/27/1989,516
11/3/1989,539
11/10/1989,545
11/17/1989,529
11/24/1989,516
12/1/1989,534
12/8/1989,528
12/15/1989,552
12/22/1989,548
12/29/1989,533
1/5/1990,532
1/12/1990,527
1/19/1990,494
1/26/1990,482
